provinsi;kabupaten;bobot_hidup_siap_potong;berat_karkas;berat_daging_murni;berat_daging_variasi;berat_jeroan;umur_afkir;struktur_populasi_jantan_dewasa;struktur_populasi_jantan_muda;struktur_populasi_jantan_anak;struktur_populasi_betina_dewasa;struktur_populasi_betina_muda;struktur_populasi_betina_anak;tingkat_kelahiran;tingkat_kebuntingan;tingkat_kematian_pedet;tingkat_kematian_total;bcs;calving_interval_ekstensif_intensif;sc_jika_ib;adg_average_daily_gain;jumlah_pemberian_hijauan_pakan_ternak;jenis_hijauan_pakan_ternak;jumlah_pemberian_pakan_tambahan;jenis_pakan_tambahan;jumlah_pemberian_suplemen_vitamin_obat;jenis_ternak;tahun
Kalimantan Barat;Sambas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kalimantan Barat;Mempawah;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kalimantan Barat;Sanggau;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kalimantan Barat;Ketapang;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kalimantan Barat;Sintang;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kalimantan Barat;Kapuas Hulu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kalimantan Barat;Bengkayang;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kalimantan Barat;Landak;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kalimantan Barat;Sekadau;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kalimantan Barat;Melawi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kalimantan Barat;Kayong Utara;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kalimantan Barat;Kubu Raya;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kalimantan Barat;Pontianak;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kalimantan Barat;Singkawang;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
